BuildingID,addr_full,lng,lat
"81592","2497 GRAND AVENUE BRONX NY 10468","-73.9025","40.8642"
"57512","2549 COLDEN AVENUE BRONX NY 10469","-73.8599","40.8642"
"81847","2559 GRAND CONCOURSE BRONX NY 10468","-73.8964","40.8641"
"5036","3854 10 AVENUE MANHATTAN NY 10034","-73.9198","40.864"
"81845","2555 GRAND CONCOURSE BRONX NY 10468","-73.8966","40.864"
"121299","20 WEST 190 STREET BRONX NY 10468","-73.9011","40.8639"
"94374","2600 MARION AVENUE BRONX NY 10458","-73.8915","40.8638"
"81844","2545 GRAND CONCOURSE BRONX NY 10468","-73.8967","40.8637"
"57502","2533 COLDEN AVENUE BRONX NY 10469","-73.86","40.8637"
"66879","345 EAST 193 STREET BRONX NY 10458","-73.8914","40.8637"
"73475","271 EAST KINGSBRIDGE ROAD BRONX NY 10458","-73.8939","40.8636"
"117109","2544 VALENTINE AVENUE BRONX NY 10458","-73.8946","40.8635"
"60800","2630 DECATUR AVENUE BRONX NY 10458","-73.8898","40.8634"
"116660","2422 UNIVERSITY AVENUE BRONX NY 10468","-73.904","40.8634"
"66856","65 EAST 190 STREET BRONX NY 10468","-73.8985","40.8633"
"81579","2455 GRAND AVENUE BRONX NY 10468","-73.9033","40.8633"
"46623","2566 BAINBRIDGE AVENUE BRONX NY 10458","-73.8927","40.8632"
"116658","2414 UNIVERSITY AVENUE BRONX NY 10468","-73.9044","40.8631"
"94361","2565 MARION AVENUE BRONX NY 10458","-73.8924","40.8631"
"60799","2600 DECATUR AVENUE BRONX NY 10458","-73.8903","40.8631"
"60797","2567 DECATUR AVENUE BRONX NY 10458","-73.8912","40.8628"
"60796","2563 DECATUR AVENUE BRONX NY 10458","-73.8912","40.8627"
"5375","544 ACADEMY STREET MANHATTAN NY 10034","-73.923","40.8627"
"60794","2559 DECATUR AVENUE BRONX NY 10458","-73.8913","40.8627"
"108468","2304 SEDGWICK AVENUE BRONX NY 10468","-73.908","40.8626"
"52016","2440 BRONX PARK EAST BRONX NY 10467","-73.8701","40.8626"
"116954","2374 DR M L KING JR BOULEVARD BRONX NY 10468","-73.9046","40.8625"
"73558","21 EAST FORDHAM ROAD BRONX NY 10468","-73.9003","40.8625"
"94356","2550 MARION AVENUE BRONX NY 10458","-73.8922","40.8625"
"25930","200 NAGLE AVENUE MANHATTAN NY 10034","-73.9234","40.8624"
"45503","2341 ANDREWS AVENUE NORTH BRONX NY 10468","-73.9067","40.8624"
"47529","2441 BARNES AVENUE BRONX NY 10467","-73.8639","40.8624"
"25929","192 NAGLE AVENUE MANHATTAN NY 10034","-73.9236","40.8624"
"124948","2462 WILLIAMSBRIDGE ROAD BRONX NY 10469","-73.8575","40.8624"
"60791","2543 DECATUR AVENUE BRONX NY 10458","-73.8916","40.8624"
"92715","2326 LORING PLACE NORTH BRONX NY 10468","-73.9077","40.8624"
"88943","2439 JEROME AVENUE BRONX NY 10468","-73.9018","40.8624"
"25928","184 NAGLE AVENUE MANHATTAN NY 10034","-73.924","40.8623"
"94946","2432 MATTHEWS AVENUE BRONX NY 10467","-73.8624","40.8623"
"81573","2409 GRAND AVENUE BRONX NY 10468","-73.904","40.8622"
"94943","2428 MATTHEWS AVENUE BRONX NY 10467","-73.8624","40.8621"
"122114","212 WEST FORDHAM ROAD BRONX NY 10468","-73.9097","40.862"
"6127","25 ARDEN STREET MANHATTAN NY 10040","-73.9267","40.8618"
"116947","2340 DR M L KING JR BOULEVARD BRONX NY 10468","-73.9053","40.8618"
"119209","2440 WALTON AVENUE BRONX NY 10468","-73.9004","40.8618"
"6126","23 ARDEN STREET MANHATTAN NY 10040","-73.9267","40.8617"
"92706","2312 LORING PLACE NORTH BRONX NY 10468","-73.9079","40.8617"
